"Date","Latitude","Longitude","Mixed-layer Temperature","Mixed-layer Salinity","Bottom Temperature","Bottom Dissolved Oxygen"
2009-03-12,28.489,-83.066,16.70578,34.93856,16.6847,7.86685
2008-02-29,29.984,-86,17.40235,35.74071875,18.2003,7.45306
2008-03-03,29.489,-83.991,16.4662529411765,35.8795294117647,16.3751,8.11698
2008-03-04,28.485,-83.501,17.2807611111111,36.5749888888889,17.2126,8.07261
2008-03-04,28.905,-83.263,17.19978,36.45518,17.1445,8.0873
2008-03-04,28.488,-83.068,17.5970888888889,36.5187888888889,17.5989,7.96914
2008-03-04,26.99,-82.536,19.9350454545455,36.8991090909091,19.933,7.50646
2012-08-04,28.338,-84.158,29.2788333333333,35.7035,25.703,3.66
2012-08-04,28.354,-84.143,29.1395555555556,35.7212222222222,25.303,3.29
2012-08-04,28.37,-84.145,29.1878333333333,35.7273333333333,24.359,3.08
2013-07-03,29.514,-84.002,28.1139578947368,34.7315473684211,28.0922,5.74537
2013-07-04,29.005,-83.503,28.6330933333333,35.7564666666667,28.6331,5.86873
2013-07-04,28.53,-83.497,28.438119047619,35.9759476190476,28.4383,5.81211
2013-07-05,29.013,-84.007,27.7588041666667,35.7217375,27.763,5.85746
2013-07-05,29.505,-84.5,27.6488157894737,34.6709684210526,27.6514,5.84077
2013-07-15,26.501,-82.499,29.4819611111111,35.9755777777778,29.4823,5.95712
2013-07-15,27.506,-82.998,29.4174066666667,35.9555066666667,29.4162,5.74902
2014-07-16,25.896,-82.1,30.5001571428571,36.43435,30.504,5.93857
2014-07-16,25.29,-81.933,30.6036,36.4721142857143,30.598,5.94247
2014-11-14,29.435,-84.272,22.7557263157895,35.5545421052632,22.7619,6.4207
2014-11-14,29.345,-84.126,22.6924,35.5652727272727,22.6981,6.434
2014-11-14,29.397,-84.136,22.6402181818182,35.5786181818182,22.6456,6.4258
2014-11-15,28.921,-84.088,23.1748333333333,35.5777777777778,23.183,6.4683
2014-11-15,29.24,-83.72,21.1995294117647,35.2761941176471,21.2061,6.7549
2014-11-15,29,-83.57,20.93705,35.1813333333333,20.9429,7.324
2014-11-15,28.918,-83.61,21.4367684210526,35.3658894736842,21.43,6.9232
2014-11-15,28.841,-83.665,21.9806,35.4244,21.9432,6.9297
2015-11-15,29.019,-83.547,24.0240066666667,34.91284,24.0234,6.6814
2012-11-15,28.855,-83.51,21.2794466666667,35.6228066666667,21.2815,6.52384
2012-11-15,28.502,-83.5,21.9327318181818,35.3849590909091,21.9183,6.56837
2012-11-15,28.328,-83.381,21.851765,35.571495,21.8105,6.73588
2012-11-16,28.009,-83.241,21.9783388888889,35.76555,21.979,6.59573
2012-11-16,27.858,-83.455,22.7192862068966,35.7550827586207,22.7229,6.61342
2012-11-17,26.803,-82.84,23.3135307692308,35.8674115384615,23.3174,6.25844
2012-11-17,25.191,-82.355,23.7873,36.007447826087,23.7063,6.40219
2011-11-04,29.752,-85.644,22.4713153846154,34.7142961538462,22.4718,6.59612
2010-11-12,29.407,-83.627,20.8108166666667,34.5067083333333,20.8149,6.57695
2010-11-13,29.086,-83.911,22.6656125,34.7274,22.6655,6.2994
2010-11-13,29.185,-84,22.4759285714286,34.8352380952381,22.4792,6.28917
2010-11-14,28.322,-83.194,22.00074375,34.71339375,21.9839,6.42197
2010-11-15,28.241,-84.252,23.052035,35.119755,21.5638,4.63838
2010-11-16,27.894,-83.152,22.5880777777778,34.8941666666667,22.5882,6.35663
2013-06-09,29.472,-85.173,26.77242,34.77148,25.7712,6.0463
2013-06-09,29.436,-84.901,26.5474375,34.97035,25.7586,6.05591
2013-06-09,29.385,-84.918,26.47235,34.9023,25.7019,6.09185
2013-06-09,29.174,-84.812,25.9118,35.48352,22.8313,6.13525
2013-06-09,29.178,-84.708,25.9614875,35.37215,22.5091,5.93775
2013-06-10,28.915,-84.639,25.8696583333333,35.6890666666667,21.9219,6.2741
2013-06-10,28.88,-84.654,25.9222111111111,35.6806222222222,21.814,6.44368
2013-06-10,28.973,-84.785,26.0382545454545,35.7055363636364,21.969,6.12623
2013-06-11,28.412,-84.404,26.9221333333333,35.7436,19.6105,4.91289
2013-06-11,28.245,-84.33,26.7948333333333,35.6421666666667,19.8748,5.35395
2013-06-11,27.895,-84.063,26.336225,36.2029,19.9454,5.32838
2013-06-11,27.797,-83.79,26.6548,36.0372666666667,20.2829,5.2436
2013-06-11,27.551,-84.044,26.9062,36.0344333333333,19.6937,5.50281
2013-06-12,27.308,-83.567,26.66626,36.01642,20.2511,5.5132
2013-06-12,27.132,-83.667,27.26076,36.29012,20.1499,5.52694
2013-06-12,27.061,-83.713,27.2883714285714,36.2770714285714,20.3131,5.81066
2013-06-12,27.019,-83.651,27.74175,36.256775,20.3025,5.81393
